split,lambda,cos_md_rmd,test_auc_md,test_auc_rmd,n_train_pos,n_train_neg,n_test
1,0.0001,0.47927532228398806,0.8916256157635468,0.9540229885057471,21,29,50
1,0.001,0.47986524595889496,0.8916256157635468,0.9540229885057471,21,29,50
1,0.01,0.4855923327584231,0.8916256157635468,0.9556650246305419,21,29,50
1,0.1,0.5308815950932924,0.8916256157635468,0.9589490968801314,21,29,50
1,1.0,0.7048717603152239,0.8916256157635468,0.9589490968801314,21,29,50
2,0.0001,0.5009046323613857,0.9573070607553367,0.9129720853858785,21,29,50
2,0.001,0.501541927166332,0.9573070607553367,0.9129720853858785,21,29,50
2,0.01,0.507807439091561,0.9573070607553367,0.9113300492610837,21,29,50
2,0.1,0.5616741478902306,0.9573070607553367,0.916256157635468,21,29,50
2,1.0,0.7912954092741743,0.9573070607553367,0.9458128078817734,21,29,50
